"bik18496pnt19000", "Buaraphan", "", "Buaraphan, K., Inrit, B., & Kochasila, W. (2018). Current policy and practice concerning multigrade teaching in Thailand. Kasetsart Journal of Social Sciences, 39, 496-501. https://doi.org/10.1016/j.kjss.2018.06.008", "3", "1", "", "2018", "Phanniphong, K., Nuankaew, P., Teeraputon, D., Nuankaew, W., Tanasirathum, P., & Bussaman, S. (2019). The distinction learning style in learning outcomes of the secondary school learner. In The 3rd Technology Innovation Management and Engineering Science International Conference (TIMES-iCON2018). https://doi.org/10.1109/TIMES-iCON.2018.8621778"
"jbp18001msp18001", "Buaraphan", "Physics and Astronomy", "Jedaman, P., Buaraphan, K., Pimdee, P., Yuenyong, C., Sukkamart, A., & Suksup, C. (2018). Analysis of sustainable leadership for science learning management in the 21st century under education THAILAND 4.0 Framework. AIP Conference Proceedings, 1923(1), 1-10. https://doi.org/10.1063/1.5019553", "3", "1", "", "2018", "Maria, M., Shahbodin, F., & Pee, N. C. (2018). Malaysian higher education system towards industry 4.0 - Current trends overview. AIP Conference Proceedings, 2016(1), 1-7. https://doi.org/10.1063/1.5055483"
"jbp18001tj019001", "Buaraphan", "Physics and Astronomy", "Jedaman, P., Buaraphan, K., Pimdee, P., Yuenyong, C., Sukkamart, A., & Suksup, C. (2018). Analysis of sustainable leadership for science learning management in the 21st century under education THAILAND 4.0 Framework. AIP Conference Proceedings, 1923(1), 1-10. https://doi.org/10.1063/1.5019553", "3", "1", "", "2018", "Thirapornpongsiri, U., & Jedaman, P. (2019). The model development of result based management for science learning management. AIP Conference Proceedings, 2081(1), 1-8. https://doi.org/10.1063/1.5094022"
"kb014043hai18266", "Buaraphan", "Education", "Kruea-In, N., & Buaraphan, K. (2014). Enhancing lower secondary school science teachers' science process skills and laboratory lesson preparation through a social constructivist-based professional development workshop. The International Journal of Science, Mathematics and Technology Learning, 20(2), 43-56. Abstract retrieved from http://ijlsmtl.cgpublisher.com", "3", "1", "Education (Q4); Engineering (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)", "2014", "Hernawati, D., Amin, M., Irawati, M. H., Indriwati, S. E., & Omar, N. (2018). The effectiveness of scientific approach using encyclopedia as learning materials in improving students' science process skills in science. Jurnal Pendidikan IPA Indonesia, 7, 266-272. https://doi.org/10.15294/jpii.v7i3.14459"
"tcm18001apb18736", "Chenprakhon", "Chemical Engineering", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Aleku, G. A., Prause, C., Bradshaw-Allen, R. T., Plasch, K., Glueck, S. M., Bailey, S. S.,...Leys, D. (2018). Terminal alkenes from acrylic acid derivatives via non-oxidative enzymatic decarboxylation by ferulic acid decarboxylases. ChemCatChem, 10, 3736-3745. https://doi.org/10.1002/cctc.201800643"
"tcm18001apb18736", "Chenprakhon", "Chemistry", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Aleku, G. A., Prause, C., Bradshaw-Allen, R. T., Plasch, K., Glueck, S. M., Bailey, S. S.,...Leys, D. (2018). Terminal alkenes from acrylic acid derivatives via non-oxidative enzymatic decarboxylation by ferulic acid decarboxylases. ChemCatChem, 10, 3736-3745. https://doi.org/10.1002/cctc.201800643"
"tcm18001bbb18134", "Chenprakhon", "Agricultural and Biological Sciences", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Bel-Rhlid, R., Berger, R. G., & Blank, I. (2018). Bio-mediated generation of food flavors – Towards sustainable flavor production inspired by nature. Trends in Food Science and Technology, 78, 134-143. https://doi.org/10.1016/j.tifs.2018.06.004"
"tcm18001bbb18134", "Chenprakhon", "Biochemistry, Genetics and Molecular Biology", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Bel-Rhlid, R., Berger, R. G., & Blank, I. (2018). Bio-mediated generation of food flavors – Towards sustainable flavor production inspired by nature. Trends in Food Science and Technology, 78, 134-143. https://doi.org/10.1016/j.tifs.2018.06.004"
"tcm18001cwc19008", "Chenprakhon", "Biochemistry, Genetics and Molecular Biology", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Chenprakhon, P., Wongnate, T., & Chaiyen, P. (2019). Monooxygenation of aromatic compounds by flavin-dependent monooxygenases. Protein Science, 28, 8-29. https://doi.org/10.1002/pro.3525"
"tcm18001mkj19038", "Chenprakhon", "Biochemistry, Genetics and Molecular Biology", "Tinikul, R., Chenprakhon, P., Maenpuen, S., & Chaiyen, P. (2018). Biotransformation of plant-derived phenolic acids. Biotechnology Journal, 13(6), 1-12. https://doi.org/10.1002/biot.201700632", "3", "1", "", "2018", "Machas, M., Kurgan, G., Jha, A. K., Flores, A., Schneider, A., Coyle, S.,...Nielsen, D. R. (2019). Emerging tools, enabling technologies, and future opportunities for the bioproduction of aromatic chemicals. Journal of Chemical Technology and Biotechnology, 94, 38-52. https://doi.org/10.1002/jctb.5762"
